seuil,rappel,fpr,precision_grille,precision_prevalence,tp,fp,n_pos,n_neg
-1.0,1.0,1.0,0.14285714285714285,0.1,576,3456,576,3456
0.06666666666666667,1.0,0.8318865740740741,0.16690814256737177,0.1178275544645597,576,2875,576,3456
0.1380952380952381,1.0,0.8315972222222222,0.16695652173913045,0.11786372007366484,576,2874,576,3456
0.15838509316770186,1.0,0.8295717592592593,0.16729596282311937,0.11811750230698247,576,2867,576,3456
0.18219461697722567,1.0,0.8289930555555556,0.16739319965126417,0.11819021237303787,576,2865,576,3456
0.19523809523809524,1.0,0.828125,0.16753926701570682,0.11829944547134935,576,2862,576,3456
0.20526315789473684,1.0,0.8263888888888888,0.16783216783216784,0.11851851851851852,576,2856,576,3456
0.21637426900584794,1.0,0.8232060185185185,0.1683718211049401,0.11892226695571385,576,2845,576,3456
0.22875816993464052,1.0,0.8194444444444444,0.16901408450704225,0.11940298507462686,576,2832,576,3456
0.2376470588235294,1.0,0.7566550925925926,0.18050767784393607,0.12804268089363122,576,2615,576,3456
0.245,1.0,0.7491319444444444,0.1819905213270142,0.12916246215943492,576,2589,576,3456
0.2554347826086957,1.0,0.7039930555555556,0.1914257228315055,0.13631522896698617,576,2433,576,3456
0.263768115942029,1.0,0.6996527777777778,0.19238476953907815,0.13704496788008566,576,2418,576,3456
0.26969696969696966,1.0,0.6733217592592593,0.198415432311402,0.1416451493913685,576,2327,576,3456
0.2792207792207792,1.0,0.6686921296296297,0.19951506754416348,0.1424860853432282,576,2311,576,3456
0.291005291005291,1.0,0.6064814814814815,0.2155688622754491,0.15483870967741936,576,2096,576,3456
0.29814814814814816,1.0,0.6056134259259259,0.21581116523042337,0.1550262414210739,576,2093,576,3456
0.3038461538461539,1.0,0.6015625,0.21694915254237288,0.15590742996345922,576,2079,576,3456
0.3117408906882591,1.0,0.5998263888888888,0.217440543601359,0.15628815628815632,576,2073,576,3456
0.31789473684210523,1.0,0.5980902777777778,0.21793416572077184,0.15667074663402694,576,2067,576,3456
0.32666666666666666,1.0,0.5969328703703703,0.2182644941265631,0.15692684920310587,576,2063,576,3456
0.3405797101449275,1.0,0.5946180555555556,0.21892816419612315,0.15744157441574416,576,2055,576,3456
0.350383631713555,1.0,0.5908564814814815,0.22001527883880825,0.15828524319868095,576,2042,576,3456
0.3582887700534759,1.0,0.5885416666666666,0.2206896551724138,0.15880893300248142,576,2034,576,3456
0.3693181818181818,1.0,0.5734953703703703,0.2251759186864738,0.16229923922231618,576,1982,576,3456
0.37797619047619047,1.0,0.5723379629629629,0.2255285826155051,0.16257408975444543,576,1978,576,3456
0.3904761904761905,1.0,0.5465856481481481,0.23367139959432048,0.1689397272327321,576,1889,576,3456
0.4105263157894737,1.0,0.5208333333333334,0.24242424242424243,0.1758241758241758,576,1800,576,3456
0.424812030075188,1.0,0.5167824074074074,0.2438611346316681,0.17695852534562212,576,1786,576,3456
0.4365079365079365,1.0,0.5107060185185185,0.24604869713797523,0.17868776174965104,576,1765,576,3456
0.45751633986928103,1.0,0.5083912037037037,0.24689241320188599,0.1793554413825315,576,1757,576,3456
0.4852941176470588,1.0,0.5054976851851852,0.24795523030563926,0.18019709056780853,576,1747,576,3456
0.513157894736842,0.9982638888888888,0.5040509259259259,0.24816573154941735,0.1803638644918444,575,1742,576,3456
0.5298245614035088,0.9965277777777778,0.5040509259259259,0.24784110535405873,0.18010668340131786,574,1742,576,3456
0.5523809523809524,0.9965277777777778,0.5014467592592593,0.24880797572605115,0.1808728533165275,574,1733,576,3456
0.5857142857142856,0.9947916666666666,0.5,0.24902216427640156,0.181042654028436,573,1728,576,3456
0.6157894736842104,0.9930555555555556,0.5,0.24869565217391304,0.18078381795195955,572,1728,576,3456
0.6339712918660287,0.9930555555555556,0.03877314814814815,0.8101983002832861,0.739974126778784,572,134,576,3456
0.6515151515151515,0.9930555555555556,0.02980324074074074,0.8474074074074074,0.7873365450791466,572,103,576,3456
0.6833333333333333,0.9913194444444444,0.008969907407407407,0.9485049833887044,0.9246963562753037,571,31,576,3456
0.7029411764705882,0.9913194444444444,0.0011574074074074073,0.9930434782608696,0.9896013864818025,571,4,576,3456
0.7213622291021672,0.9913194444444444,0.0008680555555555555,0.9947735191637631,0.9921807124239792,571,3,576,3456
0.743421052631579,0.9895833333333334,0.0008680555555555555,0.9947643979057592,0.9921671018276763,570,3,576,3456
0.7638888888888888,0.9878472222222222,0.0005787037037037037,0.9964973730297724,0.9947552447552448,569,2,576,3456
0.788888888888889,0.9878472222222222,0.0,1.0,1.0,569,0,576,3456
0.8210526315789474,0.984375,0.0,1.0,1.0,567,0,576,3456
0.8710526315789473,0.9756944444444444,0.0,1.0,1.0,562,0,576,3456
0.9236842105263158,0.9739583333333334,0.0,1.0,1.0,561,0,576,3456
0.9736842105263157,0.9322916666666666,0.0,1.0,1.0,537,0,576,3456
2.0,0.0,0.0,1.0,1.0,0,0,576,3456
