threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-9.8775,1.0,0.9629407051282052,0.03840768153630726,0.10345041964563258,576,14421,576,14976
-9.868,1.0,0.9626736111111112,0.03841792836657107,0.10347615198059823,576,14417,576,14976
-9.859000000000002,1.0,0.9620058760683761,0.03844356937862911,0.10354053885881402,576,14407,576,14976
-9.8495,1.0,0.961204594017094,0.03847438380869681,0.1036179089607074,576,14395,576,14976
-9.8475,1.0,0.9605368589743589,0.03850010026067776,0.10368247242818869,576,14385,576,14976
-9.8425,1.0,0.9602697649572649,0.038510396469880324,0.10370832034901839,576,14381,576,14976
-9.8355,1.0,0.960136217948718,0.03851554663991976,0.10372124914292839,576,14379,576,14976
-9.8325,1.0,0.9600694444444444,0.03851812224154073,0.10372771474878445,576,14378,576,14976
-9.831,1.0,0.9586004273504274,0.03857487275649612,0.10387016229712859,576,14356,576,14976
-9.8255,1.0,0.9581997863247863,0.038590379204073426,0.10390907955538904,576,14350,576,14976
-9.8185,1.0,0.9579994658119658,0.0385981371037995,0.1039285491224783,576,14347,576,14976
-9.8145,1.0,0.9578659188034188,0.038603310770055625,0.10394153288775065,576,14345,576,14976
-9.812000000000001,1.0,0.9558627136752137,0.03868108253307367,0.10413667939170161,576,14315,576,14976
-9.807500000000001,1.0,0.9556623931623932,0.03868887694787748,0.1041562343515273,576,14312,576,14976
-9.8,1.0,0.9549278846153846,0.03871748336358137,0.10422799874725963,576,14301,576,14976
-9.7955,1.0,0.9534588675213675,0.038774823291820935,0.10437182462522737,576,14279,576,14976
-9.7935,1.0,0.9527243589743589,0.038803556992724336,0.10444388651770023,576,14268,576,14976
-9.7895,1.0,0.9523904914529915,0.03881663184850731,0.10447667482890689,576,14263,576,14976
-9.784500000000001,1.0,0.9513221153846154,0.03885853066180935,0.104581735905977,576,14247,576,14976
-9.7805,1.0,0.9511885683760684,0.03886377437419877,0.10459488339933372,576,14245,576,14976
-9.7775,1.0,0.9494524572649573,0.038932071645826294,0.10476610212176542,576,14219,576,14976
-9.7745,1.0,0.9484508547008547,0.03897158322056834,0.10486513738341316,576,14204,576,14976
-9.7715,1.0,0.9483840811965812,0.03897422017727857,0.10487174639188253,576,14203,576,14976
-9.766,1.0,0.9470486111111112,0.03902703435192086,0.10500410172272355,576,14183,576,14976
-9.7595,1.0,0.9456463675213675,0.039082643506581624,0.10514343485403767,576,14162,576,14976
-9.754999999999999,1.0,0.944778311965812,0.039117147707979624,0.10522987415417695,576,14149,576,14976
-9.751000000000001,1.0,0.9438434829059829,0.03915437427775134,0.10532312171656436,576,14135,576,14976
-9.747,1.0,0.9437099358974359,0.03915969814399348,0.10533645628916884,576,14133,576,14976
-9.742,1.0,0.9427751068376068,0.03919700578428037,0.10542989292276501,576,14119,576,14976
-9.7375,1.0,0.9419738247863247,0.039229040386841926,0.10551011349946104,576,14107,576,14976
-9.734,1.0,0.9413728632478633,0.03925310072236609,0.10557035909148586,576,14098,576,14976
-9.73,1.0,0.9413060897435898,0.03925577591494582,0.10557705729331895,576,14097,576,14976
-9.724,1.0,0.9406383547008547,0.0392825479097047,0.10564408608977209,576,14087,576,14976
-9.7195,1.0,0.9399038461538461,0.03931203931203931,0.10571791613722999,576,14076,576,14976
-9.716999999999999,1.0,0.9395699786324786,0.03932545913839011,0.105751509374007,576,14071,576,14976
-9.713000000000001,1.0,0.9394364316239316,0.039330829634687606,0.10576495264730185,576,14069,576,14976
-9.706,1.0,0.9393696581196581,0.03933351543294182,0.1057716755657259,576,14068,576,14976
-9.6995,1.0,0.9387019230769231,0.03936039360393604,0.10583895178730442,576,14058,576,14976
-9.6905,1.0,0.9385016025641025,0.03936846421980726,0.10585915134550546,576,14055,576,14976
-9.681999999999999,1.0,0.937767094017094,0.03939808481532148,0.10593328240387063,576,14044,576,14976
-9.6725,1.0,0.9376335470085471,0.039403475167601586,0.10594677193429264,576,14042,576,14976
-9.6555,1.0,0.9366319444444444,0.039443949873313705,0.10604805302402652,576,14027,576,14976
-9.6465,1.0,0.9364983974358975,0.03944935278405589,0.10606157180189943,576,14025,576,14976
-9.6395,1.0,0.9358974358974359,0.039473684210526314,0.10612244897959185,576,14016,576,14976
-9.632,1.0,0.9358306623931624,0.039476389555205264,0.10612921742458066,576,14015,576,14976
