threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-45.3575,1.0,0.6744791666666666,0.2704225352112676,0.1414364640883978,576,1554,576,2304
-45.2175,1.0,0.6723090277777778,0.27105882352941174,0.14182825484764544,576,1549,576,2304
-45.088,1.0,0.6714409722222222,0.27131417804992936,0.14198557958957295,576,1547,576,2304
-44.9485,1.0,0.6623263888888888,0.27402473834443386,0.143658810325477,576,1526,576,2304
-44.6895,1.0,0.6388888888888888,0.28125,0.14814814814814817,576,1472,576,2304
-44.502,1.0,0.6119791666666666,0.29003021148036257,0.15366146458583435,576,1410,576,2304
-44.3725,1.0,0.6046006944444444,0.292534281361097,0.15524560339599758,576,1393,576,2304
-44.171,1.0,0.5924479166666666,0.29675425038639874,0.1579272054287477,576,1365,576,2304
-43.9115,1.0,0.5846354166666666,0.2995319812792512,0.15970056144728637,576,1347,576,2304
-43.5575,1.0,0.5837673611111112,0.29984383133784487,0.1599000624609619,576,1345,576,2304
-43.055499999999995,1.0,0.5815972222222222,0.30062630480167013,0.16040100250626568,576,1340,576,2304
-42.5,1.0,0.5768229166666666,0.30236220472440944,0.16151419558359623,576,1329,576,2304
-41.944500000000005,1.0,0.5342881944444444,0.3187603763143331,0.17215870880968395,576,1231,576,2304
-41.388999999999996,1.0,0.5069444444444444,0.3302752293577982,0.1797752808988764,576,1168,576,2304
-40.8455,1.0,0.5017361111111112,0.3325635103926097,0.18130311614730876,576,1156,576,2304
-40.568,1.0,0.4991319444444444,0.33371958285052145,0.18207681365576103,576,1150,576,2304
-39.843,1.0,0.4973958333333333,0.3344947735191638,0.18259629101283884,576,1146,576,2304
-38.94,1.0,0.4956597222222222,0.3352735739231665,0.18311874105865522,576,1142,576,2304
-38.2155,1.0,0.4952256944444444,0.33546884100174723,0.18324982104509666,576,1141,576,2304
-37.5905,1.0,0.4891493055555556,0.3382266588373459,0.18510484454085321,576,1127,576,2304
-36.875,1.0,0.4878472222222222,0.3388235294117647,0.1855072463768116,576,1124,576,2304
-36.241,1.0,0.4809027777777778,0.342042755344418,0.187683284457478,576,1108,576,2304
-35.8695,1.0,0.4474826388888889,0.358431860609832,0.19891219891219888,576,1031,576,2304
-35.2535,1.0,0.4435763888888889,0.360450563204005,0.20031298904538342,576,1022,576,2304
-34.8915,1.0,0.4270833333333333,0.36923076923076925,0.2064516129032258,576,984,576,2304
-34.420500000000004,1.0,0.3923611111111111,0.3891891891891892,0.22068965517241382,576,904,576,2304
-33.903999999999996,1.0,0.3671875,0.4050632911392405,0.23230490018148817,576,846,576,2304
-33.5985,1.0,0.3285590277777778,0.43210802700675166,0.2527147087857848,576,757,576,2304
-33.39,1.0,0.3224826388888889,0.43669446550416985,0.25625625625625625,576,743,576,2304
-33.224999999999994,1.0,0.2816840277777778,0.47020408163265304,0.2828729281767956,576,649,576,2304
-33.1115,1.0,0.2808159722222222,0.47097301717089124,0.28349944629014395,576,647,576,2304
-32.9765,1.0,0.2152777777777778,0.5373134328358209,0.3404255319148936,576,496,576,2304
-32.728,1.0,0.2009548611111111,0.5543792107795957,0.3560500695410292,576,463,576,2304
-32.554500000000004,1.0,0.19053819444444445,0.5674876847290641,0.3683453237410072,576,439,576,2304
-32.308499999999995,1.0,0.18229166666666666,0.5783132530120482,0.37869822485207105,576,420,576,2304
-32.0005,1.0,0.1410590277777778,0.6392896781354052,0.44061962134251287,576,325,576,2304
-31.6415,1.0,0.13541666666666666,0.6486486486486487,0.45070422535211274,576,312,576,2304
-31.393,1.0,0.12977430555555555,0.6582857142857143,0.46126126126126127,576,299,576,2304
-31.3185,1.0,0.12630208333333334,0.6643598615916955,0.4680073126142596,576,291,576,2304
-31.2095,1.0,0.1193576388888889,0.6768507638072856,0.48210922787193966,576,275,576,2304
