threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
0.74745,0.6736111111111112,0.0,1.0,1.0,388,0,576,1728
0.74755,0.671875,0.0,1.0,1.0,387,0,576,1728
0.74765,0.6684027777777778,0.0,1.0,1.0,385,0,576,1728
0.74775,0.6666666666666666,0.0,1.0,1.0,384,0,576,1728
0.74785,0.6545138888888888,0.0,1.0,1.0,377,0,576,1728
0.74795,0.6458333333333334,0.0,1.0,1.0,372,0,576,1728
0.74805,0.6388888888888888,0.0,1.0,1.0,368,0,576,1728
0.74815,0.6319444444444444,0.0,1.0,1.0,364,0,576,1728
0.74825,0.6267361111111112,0.0,1.0,1.0,361,0,576,1728
0.74835,0.6197916666666666,0.0,1.0,1.0,357,0,576,1728
0.7484500000000001,0.6163194444444444,0.0,1.0,1.0,355,0,576,1728
0.74855,0.6111111111111112,0.0,1.0,1.0,352,0,576,1728
0.74865,0.6006944444444444,0.0,1.0,1.0,346,0,576,1728
0.74875,0.5989583333333334,0.0,1.0,1.0,345,0,576,1728
0.74885,0.59375,0.0,1.0,1.0,342,0,576,1728
0.74895,0.5902777777777778,0.0,1.0,1.0,340,0,576,1728
0.74905,0.5850694444444444,0.0,1.0,1.0,337,0,576,1728
0.74915,0.5798611111111112,0.0,1.0,1.0,334,0,576,1728
0.74925,0.5763888888888888,0.0,1.0,1.0,332,0,576,1728
0.74935,0.5729166666666666,0.0,1.0,1.0,330,0,576,1728
0.74945,0.5677083333333334,0.0,1.0,1.0,327,0,576,1728
0.74955,0.5625,0.0,1.0,1.0,324,0,576,1728
0.74965,0.5607638888888888,0.0,1.0,1.0,323,0,576,1728
0.74975,0.5590277777777778,0.0,1.0,1.0,322,0,576,1728
0.74985,0.5572916666666666,0.0,1.0,1.0,321,0,576,1728
0.75005,0.5538194444444444,0.0,1.0,1.0,319,0,576,1728
0.75025,0.5520833333333334,0.0,1.0,1.0,318,0,576,1728
0.75345,0.5503472222222222,0.0,1.0,1.0,317,0,576,1728
0.75675,0.546875,0.0,1.0,1.0,315,0,576,1728
0.75695,0.5381944444444444,0.0,1.0,1.0,310,0,576,1728
0.75705,0.5347222222222222,0.0,1.0,1.0,308,0,576,1728
0.75725,0.5329861111111112,0.0,1.0,1.0,307,0,576,1728
0.75745,0.5277777777777778,0.0,1.0,1.0,304,0,576,1728
0.75755,0.5243055555555556,0.0,1.0,1.0,302,0,576,1728
0.75765,0.5173611111111112,0.0,1.0,1.0,298,0,576,1728
0.75775,0.5138888888888888,0.0,1.0,1.0,296,0,576,1728
0.75785,0.5104166666666666,0.0,1.0,1.0,294,0,576,1728
0.75795,0.5052083333333334,0.0,1.0,1.0,291,0,576,1728
0.75805,0.4895833333333333,0.0,1.0,1.0,282,0,576,1728
0.75815,0.4809027777777778,0.0,1.0,1.0,277,0,576,1728
0.75825,0.4791666666666667,0.0,1.0,1.0,276,0,576,1728
0.75835,0.46875,0.0,1.0,1.0,270,0,576,1728
0.75845,0.4600694444444444,0.0,1.0,1.0,265,0,576,1728
0.7585500000000001,0.4427083333333333,0.0,1.0,1.0,255,0,576,1728
0.75865,0.4288194444444444,0.0,1.0,1.0,247,0,576,1728
0.75875,0.4184027777777778,0.0,1.0,1.0,241,0,576,1728
0.75885,0.40625,0.0,1.0,1.0,234,0,576,1728
0.75895,0.3958333333333333,0.0,1.0,1.0,228,0,576,1728
0.75905,0.375,0.0,1.0,1.0,216,0,576,1728
0.75915,0.359375,0.0,1.0,1.0,207,0,576,1728
0.75925,0.3524305555555556,0.0,1.0,1.0,203,0,576,1728
0.75935,0.34375,0.0,1.0,1.0,198,0,576,1728
0.75945,0.3350694444444444,0.0,1.0,1.0,193,0,576,1728
0.75955,0.328125,0.0,1.0,1.0,189,0,576,1728
0.75965,0.3125,0.0,1.0,1.0,180,0,576,1728
0.75975,0.3072916666666667,0.0,1.0,1.0,177,0,576,1728
0.75985,0.3003472222222222,0.0,1.0,1.0,173,0,576,1728
0.75995,0.2881944444444444,0.0,1.0,1.0,166,0,576,1728
0.76005,0.2829861111111111,0.0,1.0,1.0,163,0,576,1728
0.76015,0.2760416666666667,0.0,1.0,1.0,159,0,576,1728
0.76025,0.265625,0.0,1.0,1.0,153,0,576,1728
0.76035,0.2604166666666667,0.0,1.0,1.0,150,0,576,1728
0.76045,0.2552083333333333,0.0,1.0,1.0,147,0,576,1728
0.7605500000000001,0.2465277777777778,0.0,1.0,1.0,142,0,576,1728
0.76065,0.24305555555555555,0.0,1.0,1.0,140,0,576,1728
0.76075,0.2361111111111111,0.0,1.0,1.0,136,0,576,1728
0.76085,0.2326388888888889,0.0,1.0,1.0,134,0,576,1728
0.76095,0.22916666666666666,0.0,1.0,1.0,132,0,576,1728
0.7614000000000001,0.22743055555555555,0.0,1.0,1.0,131,0,576,1728
0.7621,0.22569444444444445,0.0,1.0,1.0,130,0,576,1728
0.7677,0.2222222222222222,0.0,1.0,1.0,128,0,576,1728
0.77315,0.21875,0.0,1.0,1.0,126,0,576,1728
0.7735000000000001,0.2152777777777778,0.0,1.0,1.0,124,0,576,1728
0.77375,0.21354166666666666,0.0,1.0,1.0,123,0,576,1728
0.7743500000000001,0.21180555555555555,0.0,1.0,1.0,122,0,576,1728
0.775,0.20833333333333334,0.0,1.0,1.0,120,0,576,1728
0.7753,0.2048611111111111,0.0,1.0,1.0,118,0,576,1728
0.77555,0.2013888888888889,0.0,1.0,1.0,116,0,576,1728
0.7757000000000001,0.1996527777777778,0.0,1.0,1.0,115,0,576,1728
0.7759,0.19444444444444445,0.0,1.0,1.0,112,0,576,1728
0.77605,0.1909722222222222,0.0,1.0,1.0,110,0,576,1728
0.77615,0.1892361111111111,0.0,1.0,1.0,109,0,576,1728
0.77625,0.1840277777777778,0.0,1.0,1.0,106,0,576,1728
0.77635,0.18229166666666666,0.0,1.0,1.0,105,0,576,1728
0.7765,0.17881944444444445,0.0,1.0,1.0,103,0,576,1728
0.77675,0.1753472222222222,0.0,1.0,1.0,101,0,576,1728
0.77695,0.171875,0.0,1.0,1.0,99,0,576,1728
0.77705,0.16666666666666666,0.0,1.0,1.0,96,0,576,1728
0.77725,0.16319444444444445,0.0,1.0,1.0,94,0,576,1728
0.77755,0.16145833333333334,0.0,1.0,1.0,93,0,576,1728
0.7777499999999999,0.1579861111111111,0.0,1.0,1.0,91,0,576,1728
0.77785,0.1527777777777778,0.0,1.0,1.0,88,0,576,1728
0.7781,0.15104166666666666,0.0,1.0,1.0,87,0,576,1728
0.7784,0.14756944444444445,0.0,1.0,1.0,85,0,576,1728
0.77855,0.1423611111111111,0.0,1.0,1.0,82,0,576,1728
0.7787,0.140625,0.0,1.0,1.0,81,0,576,1728
0.77905,0.1371527777777778,0.0,1.0,1.0,79,0,576,1728
0.77935,0.13194444444444445,0.0,1.0,1.0,76,0,576,1728
0.77945,0.13020833333333334,0.0,1.0,1.0,75,0,576,1728
0.77955,0.1267361111111111,0.0,1.0,1.0,73,0,576,1728
0.77965,0.1232638888888889,0.0,1.0,1.0,71,0,576,1728
0.7797499999999999,0.12152777777777778,0.0,1.0,1.0,70,0,576,1728
0.78005,0.11979166666666667,0.0,1.0,1.0,69,0,576,1728
0.78035,0.11458333333333333,0.0,1.0,1.0,66,0,576,1728
0.7805,0.109375,0.0,1.0,1.0,63,0,576,1728
0.78065,0.1076388888888889,0.0,1.0,1.0,62,0,576,1728
0.78075,0.10416666666666667,0.0,1.0,1.0,60,0,576,1728
0.7809,0.10243055555555555,0.0,1.0,1.0,59,0,576,1728
0.78105,0.10069444444444445,0.0,1.0,1.0,58,0,576,1728
0.78115,0.09895833333333333,0.0,1.0,1.0,57,0,576,1728
0.78125,0.0954861111111111,0.0,1.0,1.0,55,0,576,1728
0.78135,0.0920138888888889,0.0,1.0,1.0,53,0,576,1728
0.7815,0.09027777777777778,0.0,1.0,1.0,52,0,576,1728
0.7817000000000001,0.08680555555555555,0.0,1.0,1.0,50,0,576,1728
0.78195,0.08506944444444445,0.0,1.0,1.0,49,0,576,1728
0.78225,0.08333333333333333,0.0,1.0,1.0,48,0,576,1728
0.7825,0.0798611111111111,0.0,1.0,1.0,46,0,576,1728
0.7827500000000001,0.078125,0.0,1.0,1.0,45,0,576,1728
0.78295,0.0763888888888889,0.0,1.0,1.0,44,0,576,1728
0.78305,0.07291666666666667,0.0,1.0,1.0,42,0,576,1728
0.7832,0.06770833333333333,0.0,1.0,1.0,39,0,576,1728
0.78335,0.06597222222222222,0.0,1.0,1.0,38,0,576,1728
0.78345,0.0625,0.0,1.0,1.0,36,0,576,1728
0.78355,0.06076388888888889,0.0,1.0,1.0,35,0,576,1728
0.7837000000000001,0.057291666666666664,0.0,1.0,1.0,33,0,576,1728
0.78385,0.05555555555555555,0.0,1.0,1.0,32,0,576,1728
0.78395,0.05381944444444445,0.0,1.0,1.0,31,0,576,1728
0.78405,0.052083333333333336,0.0,1.0,1.0,30,0,576,1728
0.7842,0.050347222222222224,0.0,1.0,1.0,29,0,576,1728
0.7845,0.04861111111111111,0.0,1.0,1.0,28,0,576,1728
0.7847500000000001,0.043402777777777776,0.0,1.0,1.0,25,0,576,1728
0.78495,0.03993055555555555,0.0,1.0,1.0,23,0,576,1728
0.7852,0.03819444444444445,0.0,1.0,1.0,22,0,576,1728
0.78535,0.036458333333333336,0.0,1.0,1.0,21,0,576,1728
0.78545,0.034722222222222224,0.0,1.0,1.0,20,0,576,1728
0.7856,0.03298611111111111,0.0,1.0,1.0,19,0,576,1728
0.78575,0.029513888888888888,0.0,1.0,1.0,17,0,576,1728
0.78585,0.027777777777777776,0.0,1.0,1.0,16,0,576,1728
0.78595,0.026041666666666668,0.0,1.0,1.0,15,0,576,1728
0.7861,0.024305555555555556,0.0,1.0,1.0,14,0,576,1728
0.78645,0.022569444444444444,0.0,1.0,1.0,13,0,576,1728
0.7867500000000001,0.020833333333333332,0.0,1.0,1.0,12,0,576,1728
0.7869,0.017361111111111112,0.0,1.0,1.0,10,0,576,1728
0.78705,0.015625,0.0,1.0,1.0,9,0,576,1728
0.7873,0.008680555555555556,0.0,1.0,1.0,5,0,576,1728
0.78755,0.006944444444444444,0.0,1.0,1.0,4,0,576,1728
0.7884,0.003472222222222222,0.0,1.0,1.0,2,0,576,1728
0.7894,0.001736111111111111,0.0,1.0,1.0,1,0,576,1728
1.7896,0.0,0.0,1.0,1.0,0,0,576,1728
