threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-1.0,1.0,1.0,0.1111111111111111,0.1,576,4608,576,4608
0.06666666666666667,1.0,0.7493489583333334,0.14296351451973194,0.1291298865069357,576,3453,576,4608
0.1380952380952381,1.0,0.7491319444444444,0.14299900695134063,0.12916246215943492,576,3452,576,4608
0.15838509316770186,1.0,0.7471788194444444,0.14331923364020902,0.12945638432364096,576,3443,576,4608
0.18219461697722567,1.0,0.7467447916666666,0.14339058999253174,0.1295218821148495,576,3441,576,4608
0.19523809523809524,1.0,0.74609375,0.14349775784753363,0.12962025316455697,576,3438,576,4608
0.20526315789473684,1.0,0.7447916666666666,0.1437125748502994,0.12981744421906696,576,3432,576,4608
0.21637426900584794,1.0,0.7424045138888888,0.1441080810607956,0.13018052377320113,576,3421,576,4608
0.22875816993464052,1.0,0.7395833333333334,0.14457831325301204,0.1306122448979592,576,3408,576,4608
0.2376470588235294,1.0,0.6924913194444444,0.1529068224050969,0.13826627059141236,576,3191,576,4608
0.245,1.0,0.6868489583333334,0.15396952686447474,0.13924394887136254,576,3165,576,4608
0.2554347826086957,1.0,0.6529947916666666,0.1606694560669456,0.14541323487645558,576,3009,576,4608
0.263768115942029,1.0,0.6497395833333334,0.16134453781512606,0.14603536794067312,576,2994,576,4608
0.26969696969696966,1.0,0.6299913194444444,0.1655648174762863,0.1499267935578331,576,2903,576,4608
0.2792207792207792,1.0,0.6265190972222222,0.16632977187409761,0.15063253898205356,576,2887,576,4608
0.291005291005291,1.0,0.5798611111111112,0.17733990147783252,0.16080402010050251,576,2672,576,4608
0.29814814814814816,1.0,0.5792100694444444,0.17750385208012326,0.16095567431625277,576,2669,576,4608
0.3038461538461539,1.0,0.576171875,0.17827298050139276,0.16166719292706033,576,2655,576,4608
0.3117408906882591,1.0,0.5748697916666666,0.1786046511627907,0.16197405884213859,576,2649,576,4608
0.31789473684210523,1.0,0.5733506944444444,0.17899316345556246,0.16233354470513636,576,2642,576,4608
0.32666666666666666,1.0,0.5724826388888888,0.179215930304916,0.16253968253968254,576,2638,576,4608
0.3405797101449275,1.0,0.5705295138888888,0.1797191887675507,0.16300541228907994,576,2629,576,4608
0.350383631713555,1.0,0.5677083333333334,0.18045112781954886,0.1636828644501279,576,2616,576,4608
0.3582887700534759,1.0,0.5659722222222222,0.18090452261306533,0.1641025641025641,576,2608,576,4608
0.3693181818181818,1.0,0.5546875,0.1839080459770115,0.16688396349413298,576,2556,576,4608
0.37797619047619047,1.0,0.5536024305555556,0.18420211064918451,0.1671563826314071,576,2551,576,4608
0.3904761904761905,1.0,0.5340711805555556,0.18966084952255516,0.1722166162125799,576,2461,576,4608
0.4105263157894737,1.0,0.5147569444444444,0.19538670284938942,0.17753120665742028,576,2372,576,4608
0.424812030075188,1.0,0.51171875,0.19631901840490798,0.178397212543554,576,2358,576,4608
0.4365079365079365,1.0,0.5071614583333334,0.19773429454170957,0.1797121797121797,576,2337,576,4608
0.45751633986928103,1.0,0.5054253472222222,0.19827882960413082,0.18021823301654347,576,2329,576,4608
0.4852941176470588,1.0,0.5032552083333334,0.19896373056994818,0.1808548216178029,576,2319,576,4608
0.513157894736842,0.9982638888888888,0.5021701388888888,0.199030806507442,0.18091717139935504,575,2314,576,4608
0.5298245614035088,0.9965277777777778,0.5021701388888888,0.1987534626038781,0.18065937524588876,574,2314,576,4608
0.5444444444444445,0.9965277777777778,0.5002170138888888,0.1993747829107329,0.18123692623436086,574,2305,576,4608
0.5634920634920635,0.9965277777777778,0.4900173611111111,0.20268361581920905,0.18431404029862727,574,2258,576,4608
0.5857142857142856,0.9947916666666666,0.48828125,0.20297555791710944,0.18458564870741725,573,2250,576,4608
0.6043478260869566,0.9930555555555556,0.4854600694444444,0.2036311854752581,0.18519567768829173,572,2237,576,4608
0.620137299771167,0.9930555555555556,0.4852430555555556,0.2037037037037037,0.18526315789473685,572,2236,576,4608
0.6339712918660287,0.9930555555555556,0.03428819444444445,0.7835616438356164,0.762920973657886,572,158,576,4608
0.6515151515151515,0.9930555555555556,0.026475694444444444,0.8242074927953891,0.8064857243567148,572,122,576,4608
0.6833333333333333,0.9913194444444444,0.008463541666666666,0.9360655737704918,0.9286440333401098,571,39,576,4608
0.7029411764705882,0.9913194444444444,0.0008680555555555555,0.9930434782608696,0.9921807124239792,571,4,576,4608
0.7213622291021672,0.9913194444444444,0.0006510416666666666,0.9947735191637631,0.9941240478781285,571,3,576,4608
0.743421052631579,0.9895833333333334,0.0006510416666666666,0.9947643979057592,0.9941137998691956,570,3,576,4608
0.7638888888888888,0.9878472222222222,0.00043402777777777775,0.9964973730297724,0.9960612691466083,569,2,576,4608
0.788888888888889,0.9878472222222222,0.0,1.0,1.0,569,0,576,4608
0.8210526315789474,0.984375,0.0,1.0,1.0,567,0,576,4608
0.8710526315789473,0.9756944444444444,0.0,1.0,1.0,562,0,576,4608
0.9236842105263158,0.9739583333333334,0.0,1.0,1.0,561,0,576,4608
0.9736842105263157,0.9322916666666666,0.0,1.0,1.0,537,0,576,4608
2.0,0.0,0.0,1.0,1.0,0,0,576,4608
