threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-498.0,1.0,1.0,0.5004344048653345,0.1,576,575,576,575
-207.5,1.0,0.0,1.0,1.0,576,0,576,575
83.0,0.0,0.0,1.0,1.0,0,0,576,575
