threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-1.0,1.0,1.0,0.2,0.1,576,2304,576,2304
0.08794999999999997,1.0,0.0,1.0,1.0,576,0,576,2304
1.1759,0.0,0.0,1.0,1.0,0,0,576,2304
