seuil,rappel,fpr,precision_grille,precision_prevalence,tp,fp,n_pos,n_neg
-51.926,1.0,1.0,0.25,0.1,576,1728,576,1728
-50.463,1.0,0.9965277777777778,0.2506527415143603,0.10031347962382446,576,1722,576,1728
-49.537,1.0,0.9600694444444444,0.25771812080536916,0.10372771474878445,576,1659,576,1728
-48.801500000000004,1.0,0.9247685185185185,0.26494940202391903,0.10726256983240225,576,1598,576,1728
-48.3385,1.0,0.9230324074074074,0.26531552280055276,0.10744264129826525,576,1595,576,1728
-48.093500000000006,1.0,0.8981481481481481,0.2706766917293233,0.11009174311926606,576,1552,576,1728
-47.908500000000004,1.0,0.8923611111111112,0.2719546742209632,0.11072664359861592,576,1542,576,1728
-47.6635,1.0,0.8859953703703703,0.273374466065496,0.11143354614045271,576,1531,576,1728
-47.3855,1.0,0.8692129629629629,0.27718960538979787,0.11334120425029517,576,1502,576,1728
-47.1405,1.0,0.859375,0.2794759825327511,0.11449016100178892,576,1485,576,1728
-46.95399999999999,1.0,0.8240740740740741,0.288,0.11881188118811882,576,1424,576,1728
-46.757999999999996,1.0,0.8234953703703703,0.288144072036018,0.11888544891640869,576,1423,576,1728
-46.653000000000006,1.0,0.7864583333333334,0.29767441860465116,0.12379110251450677,576,1359,576,1728
-46.604,1.0,0.7829861111111112,0.2986003110419907,0.12427184466019418,576,1353,576,1728
-46.499,1.0,0.7476851851851852,0.3083511777301927,0.1293800539083558,576,1292,576,1728
-46.3625,1.0,0.7309027777777778,0.3132137030995106,0.13195876288659794,576,1263,576,1728
-46.257000000000005,1.0,0.7297453703703703,0.3135547087642896,0.1321403991741225,576,1261,576,1728
-46.148,1.0,0.7083333333333334,0.32,0.13559322033898305,576,1224,576,1728
-46.043000000000006,1.0,0.6984953703703703,0.32305103757711723,0.137240886347391,576,1207,576,1728
-45.903000000000006,1.0,0.671875,0.3316062176165803,0.1419068736141907,576,1161,576,1728
-45.697,1.0,0.6440972222222222,0.3410301953818828,0.1471264367816092,576,1113,576,1728
-45.592,1.0,0.6429398148148148,0.34143449911084767,0.1473522640061397,576,1111,576,1728
-45.572,1.0,0.6273148148148148,0.3469879518072289,0.15047021943573669,576,1084,576,1728
-45.467,1.0,0.5700231481481481,0.3689942344650865,0.1631265930331351,576,985,576,1728
-45.3575,1.0,0.5659722222222222,0.37065637065637064,0.1641025641025641,576,978,576,1728
-45.2175,1.0,0.5630787037037037,0.37185280826339573,0.1648068669527897,576,973,576,1728
-45.088,1.0,0.5619212962962963,0.37233354880413705,0.1650902837489252,576,971,576,1728
-44.9485,1.0,0.5497685185185185,0.37745740498034075,0.16812609457092823,576,950,576,1728
-44.6895,1.0,0.5185185185185185,0.391304347826087,0.17647058823529413,576,896,576,1728
-44.502,1.0,0.4826388888888889,0.4085106382978723,0.1871345029239766,576,834,576,1728
-44.3725,1.0,0.47280092592592593,0.4134960516870065,0.19028741328047574,576,817,576,1728
-44.171,1.0,0.4565972222222222,0.421978021978022,0.19571865443425077,576,789,576,1728
-43.9115,1.0,0.4461805555555556,0.42761692650334077,0.19937694704049844,576,771,576,1728
-43.5575,1.0,0.44502314814814814,0.42825278810408923,0.19979188345473467,576,769,576,1728
-43.055499999999995,1.0,0.44212962962962965,0.4298507462686567,0.200836820083682,576,764,576,1728
-42.5,1.0,0.4357638888888889,0.43340857787810383,0.20317460317460317,576,753,576,1728
-41.944500000000005,1.0,0.37905092592592593,0.46791226645004064,0.22668240850059032,576,655,576,1728
-41.388999999999996,1.0,0.3425925925925926,0.4931506849315068,0.2448979591836735,576,592,576,1728
-40.8335,1.0,0.33564814814814814,0.4982698961937716,0.24870466321243523,576,580,576,1728
-39.653,1.0,0.3333333333333333,0.5,0.25,576,576,576,1728
-38.125,1.0,0.33275462962962965,0.5004344048653345,0.25032594524119944,576,575,576,1728
-36.875,1.0,0.33101851851851855,0.5017421602787456,0.2513089005235602,576,572,576,1728
-36.241,1.0,0.32175925925925924,0.508833922261484,0.25668449197860965,576,556,576,1728
-35.8695,1.0,0.32002314814814814,0.5101860053144376,0.2577181208053691,576,553,576,1728
-35.2535,1.0,0.3148148148148148,0.5142857142857142,0.26086956521739135,576,544,576,1728
-34.8915,1.0,0.29282407407407407,0.532347504621072,0.27507163323782235,576,506,576,1728
-34.420500000000004,1.0,0.27719907407407407,0.5459715639810426,0.28614008941877794,576,479,576,1728
-33.903999999999996,1.0,0.24363425925925927,0.5777331995987964,0.3132137030995106,576,421,576,1728
-33.5415,1.0,0.19212962962962962,0.6343612334801763,0.366412213740458,576,332,576,1728
-33.224999999999994,1.0,0.15914351851851852,0.6768507638072856,0.411134903640257,576,275,576,1728
-32.863,1.0,0.1579861111111111,0.6784452296819788,0.4129032258064516,576,273,576,1728
-32.554500000000004,1.0,0.1440972222222222,0.6981818181818182,0.435374149659864,576,249,576,1728
-32.192,1.0,0.13310185185185186,0.7146401985111662,0.4549763033175356,576,230,576,1728
-31.567,1.0,0.12789351851851852,0.7227101631116688,0.4648910411622276,576,221,576,1728
-31.2095,1.0,0.11863425925925926,0.737516005121639,0.4836272040302267,576,205,576,1728
-31.164,1.0,0.11342592592592593,0.7461139896373057,0.4948453608247423,576,196,576,1728
-31.0015,1.0,0.1111111111111111,0.75,0.5,576,192,576,1728
-30.6815,1.0,0.010416666666666666,0.9696969696969697,0.9142857142857144,576,18,576,1728
-30.476999999999997,1.0,0.00636574074074074,0.9812606473594548,0.9458128078817735,576,11,576,1728
-30.2175,1.0,0.005787037037037037,0.9829351535836177,0.9504950495049506,576,10,576,1728
-29.375,1.0,0.0011574074074074073,0.9965397923875432,0.9896907216494846,576,2,576,1728
-14.375,1.0,0.0,1.0,1.0,576,0,576,1728
1.0,0.0,0.0,1.0,1.0,0,0,576,1728
