seuil,rappel,fpr,precision_grille,precision_prevalence,tp,fp,n_pos,n_neg
-687.1,1.0,1.0,0.5,0.1,576,576,576,576
-685.75,1.0,0.9097222222222222,0.5236363636363637,0.108843537414966,576,524,576,576
-685.25,1.0,0.6423611111111112,0.6088794926004228,0.14746543778801843,576,370,576,576
-684.6,1.0,0.3333333333333333,0.75,0.25,576,192,576,576
-342.05,1.0,0.0,1.0,1.0,576,0,576,576
1.0,0.0,0.0,1.0,1.0,0,0,576,576
